Stage,Status,Date,Team1,Image1,Team2,Image2,Score1,Score2
Matchday 18,,,West Ham United,https://images.footballaddicts.se/multiball/badges/team/thumbnail/4350.png,Brighton & Hove Albion,https://images.footballaddicts.se/multiball/badges/team/thumbnail/10401.png,0,0
Matchday 19,,,Manchester United,https://images.footballaddicts.se/multiball/badges/team/thumbnail/7122612.png,Tottenham Hotspur,https://images.footballaddicts.se/multiball/badges/team/thumbnail/5193.png,0,0
Matchday 19,,,Brighton & Hove Albion,https://images.footballaddicts.se/multiball/badges/team/thumbnail/10401.png,Everton,https://images.footballaddicts.se/multiball/badges/team/thumbnail/62314.png,0,0
Matchday 19,,,Manchester City,https://images.footballaddicts.se/multiball/badges/team/thumbnail/27508.png,West Ham United,https://images.footballaddicts.se/multiball/badges/team/thumbnail/4350.png,0,0
Matchday 19,,,Chelsea,https://images.footballaddicts.se/multiball/badges/team/thumbnail/27048.png,Aston Villa,https://images.footballaddicts.se/multiball/badges/team/thumbnail/782239135.png,0,0
Matchday 19,,,Bristol City,https://images.footballaddicts.se/multiball/badges/team/thumbnail/10335.png,Liverpool,https://images.footballaddicts.se/multiball/badges/team/thumbnail/5452.png,0,0
Matchday 19,,,Arsenal,https://images.footballaddicts.se/multiball/badges/team/thumbnail/5644.png,Leicester City,https://images.footballaddicts.se/multiball/badges/team/thumbnail/783588866.png,0,0
Matchday 20,,,Everton,https://images.footballaddicts.se/multiball/badges/team/thumbnail/62314.png,Arsenal,https://images.footballaddicts.se/multiball/badges/team/thumbnail/5644.png,0,0
Matchday 20,,,Tottenham Hotspur,https://images.footballaddicts.se/multiball/badges/team/thumbnail/5193.png,Brighton & Hove Albion,https://images.footballaddicts.se/multiball/badges/team/thumbnail/10401.png,0,0
Matchday 20,,,Liverpool,https://images.footballaddicts.se/multiball/badges/team/thumbnail/5452.png,Chelsea,https://images.footballaddicts.se/multiball/badges/team/thumbnail/27048.png,0,0
Matchday 20,,,Bristol City,https://images.footballaddicts.se/multiball/badges/team/thumbnail/10335.png,Manchester City,https://images.footballaddicts.se/multiball/badges/team/thumbnail/27508.png,0,0
Matchday 20,,,Aston Villa,https://images.footballaddicts.se/multiball/badges/team/thumbnail/782239135.png,West Ham United,https://images.footballaddicts.se/multiball/badges/team/thumbnail/4350.png,0,0
Matchday 20,,,Leicester City,https://images.footballaddicts.se/multiball/badges/team/thumbnail/783588866.png,Manchester United,https://images.footballaddicts.se/multiball/badges/team/thumbnail/7122612.png,0,0
Matchday 21,,,Brighton & Hove Albion,https://images.footballaddicts.se/multiball/badges/team/thumbnail/10401.png,Aston Villa,https://images.footballaddicts.se/multiball/badges/team/thumbnail/782239135.png,0,0
Matchday 21,,,Manchester City,https://images.footballaddicts.se/multiball/badges/team/thumbnail/27508.png,Arsenal,https://images.footballaddicts.se/multiball/badges/team/thumbnail/5644.png,0,0
Matchday 21,,,Everton,https://images.footballaddicts.se/multiball/badges/team/thumbnail/62314.png,Tottenham Hotspur,https://images.footballaddicts.se/multiball/badges/team/thumbnail/5193.png,0,0
Matchday 21,,,Liverpool,https://images.footballaddicts.se/multiball/badges/team/thumbnail/5452.png,Manchester United,https://images.footballaddicts.se/multiball/badges/team/thumbnail/7122612.png,0,0
Matchday 21,,,Chelsea,https://images.footballaddicts.se/multiball/badges/team/thumbnail/27048.png,Bristol City,https://images.footballaddicts.se/multiball/badges/team/thumbnail/10335.png,0,0
Matchday 21,,,West Ham United,https://images.footballaddicts.se/multiball/badges/team/thumbnail/4350.png,Leicester City,https://images.footballaddicts.se/multiball/badges/team/thumbnail/783588866.png,0,0
Matchday 22,,,Tottenham Hotspur,https://images.footballaddicts.se/multiball/badges/team/thumbnail/5193.png,West Ham United,https://images.footballaddicts.se/multiball/badges/team/thumbnail/4350.png,0,0
Matchday 22,,,Manchester United,https://images.footballaddicts.se/multiball/badges/team/thumbnail/7122612.png,Chelsea,https://images.footballaddicts.se/multiball/badges/team/thumbnail/27048.png,0,0
Matchday 22,,,Leicester City,https://images.footballaddicts.se/multiball/badges/team/thumbnail/783588866.png,Liverpool,https://images.footballaddicts.se/multiball/badges/team/thumbnail/5452.png,0,0
Matchday 22,,,Bristol City,https://images.footballaddicts.se/multiball/badges/team/thumbnail/10335.png,Everton,https://images.footballaddicts.se/multiball/badges/team/thumbnail/62314.png,0,0
Matchday 22,,,Aston Villa,https://images.footballaddicts.se/multiball/badges/team/thumbnail/782239135.png,Manchester City,https://images.footballaddicts.se/multiball/badges/team/thumbnail/27508.png,0,0
Matchday 22,,,Arsenal,https://images.footballaddicts.se/multiball/badges/team/thumbnail/5644.png,Brighton & Hove Albion,https://images.footballaddicts.se/multiball/badges/team/thumbnail/10401.png,0,0
