Stage,Status,Date,Team1,Image1,Team2,Image2,Score1,Score2
Matchday 11,,2024-01-21 06:00:00-12:00,Brighton & Hove Albion,https://images.footballaddicts.se/multiball/badges/team/thumbnail/10401.png,Bristol City,https://images.footballaddicts.se/multiball/badges/team/thumbnail/10335.png,0,0
Matchday 11,,2024-01-21 06:30:00-12:00,Chelsea,https://images.footballaddicts.se/multiball/badges/team/thumbnail/27048.png,Manchester United,https://images.footballaddicts.se/multiball/badges/team/thumbnail/7122612.png,0,0
Matchday 11,,2024-01-21 07:00:00-12:00,Manchester City,https://images.footballaddicts.se/multiball/badges/team/thumbnail/27508.png,Liverpool,https://images.footballaddicts.se/multiball/badges/team/thumbnail/5452.png,0,0
Matchday 11,,2024-01-21 09:00:00-12:00,Leicester City,https://images.footballaddicts.se/multiball/badges/team/thumbnail/783588866.png,Aston Villa,https://images.footballaddicts.se/multiball/badges/team/thumbnail/782239135.png,0,0
Matchday 12,,2024-01-28 06:00:00-12:00,Manchester United,https://images.footballaddicts.se/multiball/badges/team/thumbnail/7122612.png,Aston Villa,https://images.footballaddicts.se/multiball/badges/team/thumbnail/782239135.png,0,0
Matchday 12,,2024-01-28 06:00:00-12:00,Brighton & Hove Albion,https://images.footballaddicts.se/multiball/badges/team/thumbnail/10401.png,Chelsea,https://images.footballaddicts.se/multiball/badges/team/thumbnail/27048.png,0,0
Matchday 12,,2024-01-28 07:00:00-12:00,Everton,https://images.footballaddicts.se/multiball/badges/team/thumbnail/62314.png,Leicester City,https://images.footballaddicts.se/multiball/badges/team/thumbnail/783588866.png,0,0
Matchday 12,,2024-01-28 08:00:00-12:00,Tottenham Hotspur,https://images.footballaddicts.se/multiball/badges/team/thumbnail/5193.png,Manchester City,https://images.footballaddicts.se/multiball/badges/team/thumbnail/27508.png,0,0
Matchday 12,,2024-01-28 08:00:00-12:00,Liverpool,https://images.footballaddicts.se/multiball/badges/team/thumbnail/5452.png,Arsenal,https://images.footballaddicts.se/multiball/badges/team/thumbnail/5644.png,0,0
Matchday 12,,2024-01-28 08:00:00-12:00,Bristol City,https://images.footballaddicts.se/multiball/badges/team/thumbnail/10335.png,West Ham United,https://images.footballaddicts.se/multiball/badges/team/thumbnail/4350.png,0,0
Matchday 13,,2024-02-03 06:30:00-12:00,Aston Villa,https://images.footballaddicts.se/multiball/badges/team/thumbnail/782239135.png,Bristol City,https://images.footballaddicts.se/multiball/badges/team/thumbnail/10335.png,0,0
Matchday 13,,2024-02-04 06:00:00-12:00,Manchester United,https://images.footballaddicts.se/multiball/badges/team/thumbnail/7122612.png,Brighton & Hove Albion,https://images.footballaddicts.se/multiball/badges/team/thumbnail/10401.png,0,0
Matchday 13,,2024-02-04 07:00:00-12:00,Manchester City,https://images.footballaddicts.se/multiball/badges/team/thumbnail/27508.png,Leicester City,https://images.footballaddicts.se/multiball/badges/team/thumbnail/783588866.png,0,0
Matchday 13,,2024-02-04 08:00:00-12:00,Liverpool,https://images.footballaddicts.se/multiball/badges/team/thumbnail/5452.png,Tottenham Hotspur,https://images.footballaddicts.se/multiball/badges/team/thumbnail/5193.png,0,0
Matchday 13,,2024-02-04 08:00:00-12:00,Chelsea,https://images.footballaddicts.se/multiball/badges/team/thumbnail/27048.png,Everton,https://images.footballaddicts.se/multiball/badges/team/thumbnail/62314.png,0,0
Matchday 13,,2024-02-04 09:00:00-12:00,West Ham United,https://images.footballaddicts.se/multiball/badges/team/thumbnail/4350.png,Arsenal,https://images.footballaddicts.se/multiball/badges/team/thumbnail/5644.png,0,0
Matchday 14,,2024-02-17 08:00:00-12:00,Arsenal,https://images.footballaddicts.se/multiball/badges/team/thumbnail/5644.png,Manchester United,https://images.footballaddicts.se/multiball/badges/team/thumbnail/7122612.png,0,0
Matchday 14,,2024-02-18 06:00:00-12:00,Brighton & Hove Albion,https://images.footballaddicts.se/multiball/badges/team/thumbnail/10401.png,Liverpool,https://images.footballaddicts.se/multiball/badges/team/thumbnail/5452.png,0,0
Matchday 14,,2024-02-18 07:00:00-12:00,Everton,https://images.footballaddicts.se/multiball/badges/team/thumbnail/62314.png,West Ham United,https://images.footballaddicts.se/multiball/badges/team/thumbnail/4350.png,0,0
Matchday 14,,2024-02-18 08:00:00-12:00,Tottenham Hotspur,https://images.footballaddicts.se/multiball/badges/team/thumbnail/5193.png,Aston Villa,https://images.footballaddicts.se/multiball/badges/team/thumbnail/782239135.png,0,0
Matchday 14,,2024-02-18 08:00:00-12:00,Chelsea,https://images.footballaddicts.se/multiball/badges/team/thumbnail/27048.png,Manchester City,https://images.footballaddicts.se/multiball/badges/team/thumbnail/27508.png,0,0
Matchday 14,,2024-02-18 09:00:00-12:00,Leicester City,https://images.footballaddicts.se/multiball/badges/team/thumbnail/783588866.png,Bristol City,https://images.footballaddicts.se/multiball/badges/team/thumbnail/10335.png,0,0
Matchday 15,,2024-03-03 07:00:00-12:00,Manchester City,https://images.footballaddicts.se/multiball/badges/team/thumbnail/27508.png,Everton,https://images.footballaddicts.se/multiball/badges/team/thumbnail/62314.png,0,0
Matchday 15,,2024-03-03 08:00:00-12:00,Bristol City,https://images.footballaddicts.se/multiball/badges/team/thumbnail/10335.png,Brighton & Hove Albion,https://images.footballaddicts.se/multiball/badges/team/thumbnail/10401.png,0,0
Matchday 15,,2024-03-03 08:00:00-12:00,Aston Villa,https://images.footballaddicts.se/multiball/badges/team/thumbnail/782239135.png,Liverpool,https://images.footballaddicts.se/multiball/badges/team/thumbnail/5452.png,0,0
Matchday 15,,2024-03-03 08:00:00-12:00,Arsenal,https://images.footballaddicts.se/multiball/badges/team/thumbnail/5644.png,Tottenham Hotspur,https://images.footballaddicts.se/multiball/badges/team/thumbnail/5193.png,0,0
Matchday 15,,2024-03-03 09:00:00-12:00,West Ham United,https://images.footballaddicts.se/multiball/badges/team/thumbnail/4350.png,Manchester United,https://images.footballaddicts.se/multiball/badges/team/thumbnail/7122612.png,0,0
Matchday 15,,2024-03-03 09:00:00-12:00,Leicester City,https://images.footballaddicts.se/multiball/badges/team/thumbnail/783588866.png,Chelsea,https://images.footballaddicts.se/multiball/badges/team/thumbnail/27048.png,0,0
Matchday 16,,2024-03-17 06:00:00-12:00,Manchester United,https://images.footballaddicts.se/multiball/badges/team/thumbnail/7122612.png,Bristol City,https://images.footballaddicts.se/multiball/badges/team/thumbnail/10335.png,0,0
Matchday 16,,2024-03-17 06:00:00-12:00,Brighton & Hove Albion,https://images.footballaddicts.se/multiball/badges/team/thumbnail/10401.png,Manchester City,https://images.footballaddicts.se/multiball/badges/team/thumbnail/27508.png,0,0
Matchday 16,,2024-03-17 06:30:00-12:00,Chelsea,https://images.footballaddicts.se/multiball/badges/team/thumbnail/27048.png,Arsenal,https://images.footballaddicts.se/multiball/badges/team/thumbnail/5644.png,0,0
Matchday 16,,2024-03-17 07:00:00-12:00,Everton,https://images.footballaddicts.se/multiball/badges/team/thumbnail/62314.png,Aston Villa,https://images.footballaddicts.se/multiball/badges/team/thumbnail/782239135.png,0,0
Matchday 16,,2024-03-17 08:00:00-12:00,Tottenham Hotspur,https://images.footballaddicts.se/multiball/badges/team/thumbnail/5193.png,Leicester City,https://images.footballaddicts.se/multiball/badges/team/thumbnail/783588866.png,0,0
Matchday 16,,2024-03-17 08:00:00-12:00,Liverpool,https://images.footballaddicts.se/multiball/badges/team/thumbnail/5452.png,West Ham United,https://images.footballaddicts.se/multiball/badges/team/thumbnail/4350.png,0,0
Matchday 17,,2024-03-24 07:00:00-12:00,Manchester City,https://images.footballaddicts.se/multiball/badges/team/thumbnail/27508.png,Manchester United,https://images.footballaddicts.se/multiball/badges/team/thumbnail/7122612.png,0,0
Matchday 17,,2024-03-24 07:00:00-12:00,Everton,https://images.footballaddicts.se/multiball/badges/team/thumbnail/62314.png,Liverpool,https://images.footballaddicts.se/multiball/badges/team/thumbnail/5452.png,0,0
Matchday 17,,2024-03-24 08:00:00-12:00,Bristol City,https://images.footballaddicts.se/multiball/badges/team/thumbnail/10335.png,Tottenham Hotspur,https://images.footballaddicts.se/multiball/badges/team/thumbnail/5193.png,0,0
Matchday 17,,2024-03-24 08:00:00-12:00,Aston Villa,https://images.footballaddicts.se/multiball/badges/team/thumbnail/782239135.png,Arsenal,https://images.footballaddicts.se/multiball/badges/team/thumbnail/5644.png,0,0
Matchday 17,,2024-03-24 09:00:00-12:00,West Ham United,https://images.footballaddicts.se/multiball/badges/team/thumbnail/4350.png,Chelsea,https://images.footballaddicts.se/multiball/badges/team/thumbnail/27048.png,0,0
Matchday 17,,2024-03-24 09:00:00-12:00,Leicester City,https://images.footballaddicts.se/multiball/badges/team/thumbnail/783588866.png,Brighton & Hove Albion,https://images.footballaddicts.se/multiball/badges/team/thumbnail/10401.png,0,0
Matchday 18,,2024-03-30 06:30:00-12:00,Aston Villa,https://images.footballaddicts.se/multiball/badges/team/thumbnail/782239135.png,Leicester City,https://images.footballaddicts.se/multiball/badges/team/thumbnail/783588866.png,0,0
Matchday 18,,2024-03-31 05:00:00-12:00,Manchester United,https://images.footballaddicts.se/multiball/badges/team/thumbnail/7122612.png,Everton,https://images.footballaddicts.se/multiball/badges/team/thumbnail/62314.png,0,0
Matchday 18,,2024-03-31 07:00:00-12:00,Tottenham Hotspur,https://images.footballaddicts.se/multiball/badges/team/thumbnail/5193.png,Chelsea,https://images.footballaddicts.se/multiball/badges/team/thumbnail/27048.png,0,0
Matchday 18,,2024-03-31 07:00:00-12:00,Liverpool,https://images.footballaddicts.se/multiball/badges/team/thumbnail/5452.png,Manchester City,https://images.footballaddicts.se/multiball/badges/team/thumbnail/27508.png,0,0
Matchday 18,,2024-03-31 07:00:00-12:00,Arsenal,https://images.footballaddicts.se/multiball/badges/team/thumbnail/5644.png,Bristol City,https://images.footballaddicts.se/multiball/badges/team/thumbnail/10335.png,0,0
Matchday 18,,2024-03-31 08:00:00-12:00,West Ham United,https://images.footballaddicts.se/multiball/badges/team/thumbnail/4350.png,Brighton & Hove Albion,https://images.footballaddicts.se/multiball/badges/team/thumbnail/10401.png,0,0
Matchday 19,,2024-04-21 05:00:00-12:00,Manchester United,https://images.footballaddicts.se/multiball/badges/team/thumbnail/7122612.png,Tottenham Hotspur,https://images.footballaddicts.se/multiball/badges/team/thumbnail/5193.png,0,0
Matchday 19,,2024-04-21 05:00:00-12:00,Brighton & Hove Albion,https://images.footballaddicts.se/multiball/badges/team/thumbnail/10401.png,Everton,https://images.footballaddicts.se/multiball/badges/team/thumbnail/62314.png,0,0
Matchday 19,,2024-04-21 06:00:00-12:00,Manchester City,https://images.footballaddicts.se/multiball/badges/team/thumbnail/27508.png,West Ham United,https://images.footballaddicts.se/multiball/badges/team/thumbnail/4350.png,0,0
Matchday 19,,2024-04-21 07:00:00-12:00,Chelsea,https://images.footballaddicts.se/multiball/badges/team/thumbnail/27048.png,Aston Villa,https://images.footballaddicts.se/multiball/badges/team/thumbnail/782239135.png,0,0
Matchday 19,,2024-04-21 07:00:00-12:00,Bristol City,https://images.footballaddicts.se/multiball/badges/team/thumbnail/10335.png,Liverpool,https://images.footballaddicts.se/multiball/badges/team/thumbnail/5452.png,0,0
Matchday 19,,2024-04-21 07:00:00-12:00,Arsenal,https://images.footballaddicts.se/multiball/badges/team/thumbnail/5644.png,Leicester City,https://images.footballaddicts.se/multiball/badges/team/thumbnail/783588866.png,0,0
Matchday 20,,2024-04-28 06:00:00-12:00,Everton,https://images.footballaddicts.se/multiball/badges/team/thumbnail/62314.png,Arsenal,https://images.footballaddicts.se/multiball/badges/team/thumbnail/5644.png,0,0
Matchday 20,,2024-04-28 07:00:00-12:00,Tottenham Hotspur,https://images.footballaddicts.se/multiball/badges/team/thumbnail/5193.png,Brighton & Hove Albion,https://images.footballaddicts.se/multiball/badges/team/thumbnail/10401.png,0,0
Matchday 20,,2024-04-28 07:00:00-12:00,Liverpool,https://images.footballaddicts.se/multiball/badges/team/thumbnail/5452.png,Chelsea,https://images.footballaddicts.se/multiball/badges/team/thumbnail/27048.png,0,0
Matchday 20,,2024-04-28 07:00:00-12:00,Bristol City,https://images.footballaddicts.se/multiball/badges/team/thumbnail/10335.png,Manchester City,https://images.footballaddicts.se/multiball/badges/team/thumbnail/27508.png,0,0
Matchday 20,,2024-04-28 07:00:00-12:00,Aston Villa,https://images.footballaddicts.se/multiball/badges/team/thumbnail/782239135.png,West Ham United,https://images.footballaddicts.se/multiball/badges/team/thumbnail/4350.png,0,0
Matchday 20,,2024-04-28 08:00:00-12:00,Leicester City,https://images.footballaddicts.se/multiball/badges/team/thumbnail/783588866.png,Manchester United,https://images.footballaddicts.se/multiball/badges/team/thumbnail/7122612.png,0,0
Matchday 21,,2024-05-05 05:00:00-12:00,Brighton & Hove Albion,https://images.footballaddicts.se/multiball/badges/team/thumbnail/10401.png,Aston Villa,https://images.footballaddicts.se/multiball/badges/team/thumbnail/782239135.png,0,0
Matchday 21,,2024-05-05 06:00:00-12:00,Manchester City,https://images.footballaddicts.se/multiball/badges/team/thumbnail/27508.png,Arsenal,https://images.footballaddicts.se/multiball/badges/team/thumbnail/5644.png,0,0
Matchday 21,,2024-05-05 06:00:00-12:00,Everton,https://images.footballaddicts.se/multiball/badges/team/thumbnail/62314.png,Tottenham Hotspur,https://images.footballaddicts.se/multiball/badges/team/thumbnail/5193.png,0,0
Matchday 21,,2024-05-05 07:00:00-12:00,Liverpool,https://images.footballaddicts.se/multiball/badges/team/thumbnail/5452.png,Manchester United,https://images.footballaddicts.se/multiball/badges/team/thumbnail/7122612.png,0,0
Matchday 21,,2024-05-05 07:00:00-12:00,Chelsea,https://images.footballaddicts.se/multiball/badges/team/thumbnail/27048.png,Bristol City,https://images.footballaddicts.se/multiball/badges/team/thumbnail/10335.png,0,0
Matchday 21,,2024-05-05 08:00:00-12:00,West Ham United,https://images.footballaddicts.se/multiball/badges/team/thumbnail/4350.png,Leicester City,https://images.footballaddicts.se/multiball/badges/team/thumbnail/783588866.png,0,0
